hash,block_number,block_timestamp,from_address,to_address,value,miner,fee,status,is_contract_creation
0xe42a33347ec6af53a4ca81f39bf1c9af95ece582a4b195cdb471e882cc0b7b87,60002,1439147273,0xf2d2aff1320476cb8c6b607199d23175cc595693,0xf5eedc192ab70b08d8354384ad94efd095849e00,98000000000000000000,0x72b04597570ca1bd15727a8a23d7df9d432530b1,1188236385168000,1,0
0x09ac27043afe74a1dc237da78ff5d130a937fc328596785b2cfee4c3a4fdf3d7,60003,1439147361,0x3d0768da09ce77d25e2d998e6a7b6ed4b9116c2d,0x37fdd436c4f06bbd63a93da53ec3ea91645f8866,999000000000000000,0x6541237daaff6688a79f9f2f370ca0e7ee20bd33,1240853082420000,1,0
0xf417de45ccef630ffad3ddc88dbf40aacfe9f29391df01dd77721964c4574e1c,60003,1439147361,0x86889b1cea13d370e827e099e3778b17d488b3dd,0x109c4f2ccc82c4d77bde15f306707320294aea3f,1000000000000000000,0x6541237daaff6688a79f9f2f370ca0e7ee20bd33,3366210145027455,1,0
0xcecf1e0adb943fcd8fbd5f6ecd27d16c028d5b26f6ac7cbe4e8962698cca87d6,60003,1439147361,0xc56e71225f1372c990e6829d53a1ab76d27301cf,0xa5fb3e4399e8f18643f969d0ce65cc352fc252c6,223000000000000000000,0x6541237daaff6688a79f9f2f370ca0e7ee20bd33,1269295742442000,1,0
0xb24d20c2641703c30c3de0f09f2220f8b7e4458885b4fc19b72e5ea8daf15bf2,60003,1439147361,0x667f01423a28c172e9593779554952b0c2c6524d,0x32be343b94f860124dc4fee278fdcbd38c102d88,1993775010000000000,0x6541237daaff6688a79f9f2f370ca0e7ee20bd33,1213132904823000,1,0
0x16ad3573552c66a91e2531189ce6ab034108a87218fffeec93e90dfe355c370d,60007,1439147420,0x8aeeb005ce1a716447becc2fd3896685b0decd4c,0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,382541710000000000,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13,1252321828149000,1,0
0x3961ac16b0c3cb8e625166d0bba3f8a1db2c736527a61ddc91632e36a0885a94,60008,1439147454,0x739f8ab33a41b67952f16778e3cc6d2decc3a2d5,0x0927220492194b2eda9fc4bbe38f25d681dfd36c,1,0xe2c324df4bfa311cf2055dd11476a1ec8ad9b725,23893207783683000,1,0
0x57904aad970c31e1f3ee038e016d655c253082d970b8dd08d1a0f122b50f2984,60008,1439147454,0x8155fa6c51eb31d808412d748aa086105018122f,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,1000000000000000000,0xe2c324df4bfa311cf2055dd11476a1ec8ad9b725,1217824031665968,1,0
0x98c0c88286da70c8174baed52b9f8f8ec6613bdba1782e8e27723164dcd3d563,60008,1439147454,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0x6a6d69d85a96de30fafbc28fe5560c221f0314e6,4995000000000000000,0xe2c324df4bfa311cf2055dd11476a1ec8ad9b725,1169145976740000,1,0
0x5ee005f6fcd23fa44f2926f97af2d32afdc406d578217619d28b4469a1974e54,60013,1439147525,0xa5fb3e4399e8f18643f969d0ce65cc352fc252c6,0x32be343b94f860124dc4fee278fdcbd38c102d88,222998786179999989760,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13,1213821537747000,1,0
0x7fc0694328accc4191745ed681fcd222a90be30591d6a58ffa1c04a7aea205d2,60013,1439147525,0xf5eedc192ab70b08d8354384ad94efd095849e00,0x32be343b94f860124dc4fee278fdcbd38c102d88,97998786180000006144,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13,1213821537747000,1,0
0x3ee7cea4d5de6b1b142f2359aacf7a139b9f1c1b607319ac7e0055b7f691b27a,60014,1439147602,0xc955d372fe1c428d17cd86e05d26f0206f3677b1,0x32be343b94f860124dc4fee278fdcbd38c102d88,998810000000000000,0x55baf64fc9eaccffd7cc643bb61142e1c6ac093e,1201197793761000,1,0
0x1aaab2121af758512faf8e59b4a42b29bc1918b87d9ad4e80c98bd61cbe31bfb,60014,1439147602,0x6a6d69d85a96de30fafbc28fe5560c221f0314e6,0x32be343b94f860124dc4fee278fdcbd38c102d88,4993786180000000000,0x55baf64fc9eaccffd7cc643bb61142e1c6ac093e,1201197793761000,1,0
0xab77ce7a20f82cb9d4cbd4f8a2f2cfec5b41fea90ceb692d4e4b40e85834a65a,60021,1439147725,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0xa577c0a78748b2600891dd16806a6823cb439316,17193259999999998000,0x1217627fe41a00f0b828317f43e6d58f47dbfc43,1264607483601000,1,0
0xd8cc5eaa9f5f1f2ad9d6d388cec29db691a19cb07a212b55621cd951ea21e5a4,60021,1439147725,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0xbeb3b1d443791e4b2207a9866800e02dacf19c02,9995000000000000000,0x1217627fe41a00f0b828317f43e6d58f47dbfc43,1264607483601000,1,0
0x675df4dfa3d2289e5a282d24c11ac1e4a110fc3836006ca1d026fad67937a018,60021,1439147725,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0xaa977a3542936031d6d16289441e1c32052cb913,299995000000000000000,0x1217627fe41a00f0b828317f43e6d58f47dbfc43,1264607483601000,1,0
0xe0a732aadb05d6cb4644be80e7652c8c8fdc1f78e5de7c295f468385b2567258,60022,1439147739,0x17cceb5416303cc5b49303348ea8b6914ca47a62,0xd223ed5b348a82910987cbbc7875a7ae62e1ba53,1000000000000000000,0x785ffddd5ce55c6df963f345e68d3f2024e5acb1,1216655273631000,1,0
0xee6e64c3c296e9c2110ddf602267b342d632f74943e330a5a3ab06bee58de8ff,60029,1439147931,0xa21ba94e45f0e168da824fc67ac9cb5cb577a8af,0x56011d6b57a70c27f7cc294905a5dda65bfbd154,140000000000000000000,0xbb7b8287f3f0a933474a79eae42cbca977791171,6300000000000000,1,0
0xfd28f7a13c2c82fdebf30a24580b35b8e54c8d12a20195c2133cd54757efc38d,60030,1439147954,0x17cceb5416303cc5b49303348ea8b6914ca47a62,0xd223ed5b348a82910987cbbc7875a7ae62e1ba53,46000000000000000000,0xeb1325c8d9d3ea8d74ac11f4b00f1b2367686319,1225154885262000,1,0
0x72fc1d1879fae094114d12b90d6a8022c55f118e06ae70d0c9828ca76974d950,60035,1439148033,0xaa977a3542936031d6d16289441e1c32052cb913,0x32be343b94f860124dc4fee278fdcbd38c102d88,299993790139999977472,0x84bda1c0a280b67d35727441b56e102adcc594ac,1209856811205000,1,0
0x135da7ffd826dd773958548ea00dec814ef632bcc21f9fb85352140b236adbf4,60035,1439148033,0xd223ed5b348a82910987cbbc7875a7ae62e1ba53,0x32be343b94f860124dc4fee278fdcbd38c102d88,46998790140000002048,0x84bda1c0a280b67d35727441b56e102adcc594ac,1209856811205000,1,0
0xe61d3e492478bdd1ea31eaf03b25b9a792477b550e00aa2bc546afbc36c9cb86,60035,1439148033,0xa577c0a78748b2600891dd16806a6823cb439316,0x32be343b94f860124dc4fee278fdcbd38c102d88,17192050140000000000,0x84bda1c0a280b67d35727441b56e102adcc594ac,1209856811205000,1,0
0x69cb1d443b9e854b45327e2f56f503d951c99381e6dbaaf05c186e4dff1da5c9,60041,1439148150,0x03317826d1f70aa4bddfa09be0c4105552d2358b,0xcd3078e3e503acb396f88661da737735cc02222a,38789500000000000000,0x70c6b45fe0a5116e97b112b806a76e2f51e24413,10500000000000000,1,0
0x1658bbaac19c3a06976ea210bf580eb47db4dc63b6540cf5894e3a86bff2dc52,60045,1439148265,0x0a3de155d5ecd8e81c1ff9bbf0378301f8d4c623,0x908cabed14f5632705f9d7bdb95d672b164446a8,1000000000000000000,0xf2d2aff1320476cb8c6b607199d23175cc595693,1280214780002340,1,0
0x9b470f1851e8f5e2789713fc835aa5cad58dcee94643091f5b3e4e6268547182,60056,1439148392,0xb7268c7705a1866b2a78e882fdfdc8e2a4e1428e,0x96811ad897894ec178872117c8bf2f03971a393b,25000000000000000000,0x39a1bb80a741bf5ec39fb9be59408fa0f418ffbf,1183494126507000,1,0
0x9aa80e44d7ac525fe4def9d4655a65ab1cf635bdf45ab4d4dfad4e58e252733a,60056,1439148392,0x667c9da752b672ce76f66ccb3dc2c0ed00693fcb,0x9ffbdc745507be96fedba053b7dec24a7c54b1f3,100000000000000000,0x39a1bb80a741bf5ec39fb9be59408fa0f418ffbf,1194094681794000,1,0
